Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
2.0,English Channel to the UK,14,"2','50.9355",2014-01-30,50.9355,2.0,0.928586121,Europe
0.0,Western Mediterranean,17,"-5','35.8793",2014-02-06,35.8793,-5.0,0.982394241,Mediterranean
121.0,Central Mediterranean,21,"16','34.5645",2014-02-17,34.5645,16.0,0.54103856,Mediterranean
2.0,US-Mexico border crossing,23,"-117','32.5543",2014-02-18,32.5543,-117.0,0.878170177,North America
0.0,Horn of Africa to Yemen crossing,29,"39','20.2802",2014-02-26,20.2802,39.0,0.136411373,Eastern Africa
0.0,English Channel to the UK,32,"2','50.9365",2014-03-09,50.9365,2.0,0.102433472,Europe
33.0,Horn of Africa to Yemen crossing,36,"48','12.5331",2014-03-11,12.5331,48.0,0.326817967,Eastern Africa
0.0,English Channel to the UK,37,"2','50.9686",2014-03-12,50.9686,2.0,0.088268706,Europe
0.0,English Channel to the UK,39,"2','50.950273",2014-03-14,50.950273,2.0,0.605544488,Europe
2.0,English Channel to the UK,40,"2','50.9688",2014-03-15,50.9688,2.0,0.752129175,Europe
8.0,Eastern Mediterranean,44,"26','39.398814",2014-03-18,39.398814,26.0,0.014892908,Mediterranean
661.0,Central Mediterranean,55,"14','35.1092",2014-04-09,35.1092,14.0,0.585533743,Mediterranean
309.0,Sahara Desert crossing,61,"22','23.3112",2014-04-14,23.3112,22.0,0.365139916,Northern Africa
5.0,Eastern Mediterranean,62,"27','38.669208",2014-04-16,38.669208,27.0,0.554495794,Mediterranean
1.0,Central Mediterranean,70,"14','34.3706",2014-04-30,34.3706,14.0,0.565392606,Mediterranean
80.0,Central Mediterranean,74,"14','33.1045",2014-05-02,33.1045,14.0,0.087541261,Mediterranean
36.0,Eastern Mediterranean,76,"27','37.848433",2014-05-05,37.848433,27.0,0.140336994,Mediterranean
53.0,Central Mediterranean,78,"16','32.6801",2014-05-06,32.6801,16.0,0.988648835,Mediterranean
226.0,Central Mediterranean,84,"16','34.7086",2014-05-12,34.7086,16.0,0.122178328,Mediterranean
0.0,Horn of Africa to Yemen crossing,94,"48','12.5331",2014-05-31,12.5331,48.0,0.982635992,Eastern Africa
0.0,Central Mediterranean,100,"14','36.4935",2014-06-09,36.4935,14.0,0.556758324,Mediterranean
39.0,Central Mediterranean,112,"15','34.2775",2014-06-14,34.2775,15.0,0.989681226,Mediterranean
356.0,Central Mediterranean,114,"12','35.9061",2014-06-15,35.9061,12.0,0.424407419,Mediterranean
0.0,Western Mediterranean,118,"-3','35.2783",2014-06-18,35.2783,-3.0,0.021539446,Mediterranean
0.0,Central Mediterranean,124,"17','34.6033",2014-06-27,34.6033,17.0,0.807120003,Mediterranean
566.0,Central Mediterranean,127,"14.688719','36.222841",2014-06-29,36.222841,14.688719,0.862721761,Mediterranean
27.0,Central Mediterranean,128,"15.8313','36.4317",2014-07-01,36.4317,15.8313,0.413131806,Mediterranean
0.0,Central Mediterranean,134,"13','32.9615",2014-07-06,32.9615,13.0,0.208119821,Mediterranean
13.0,Eastern Mediterranean,138,"26.921962','37.862031",2014-07-11,37.862031,26.921962,0.429502924,Mediterranean
12.0,Central Mediterranean,143,"15','33.6564",2014-07-14,33.6564,15.0,0.276349858,Mediterranean
90.0,Central Mediterranean,145,"14','32.8343",2014-07-17,32.8343,14.0,0.136101555,Mediterranean
61.0,Central Mediterranean,146,"13','33.2423",2014-07-17,33.2423,13.0,0.937846642,Mediterranean
1.0,Central Mediterranean,149,"31','31.5818",2014-07-19,31.5818,31.0,0.430927997,Mediterranean
