Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
,US-Mexico border crossing,0,"-110.366453','31.650259",2014-01-06,31.650259,-110.366453,0.006235345,North America
,US-Mexico border crossing,1,"-111.73756','31.59713",2014-01-12,31.59713,-111.73756,0.882336406,North America
,US-Mexico border crossing,2,"-113.01125','31.94026",2014-01-14,31.94026,-113.01125,0.871060157,North America
,US-Mexico border crossing,3,"-109.315632','31.506777",2014-01-16,31.506777,-109.315632,0.771501042,North America
2.0,,4,"28','59.1551",2014-01-16,59.1551,28.0,0.531182066,Europe
,US-Mexico border crossing,5,"-113.18402','32.45435",2014-01-17,32.45435,-113.18402,0.510733903,North America
,Eastern Mediterranean,6,"27','37.2832",2014-01-19,37.2832,27.0,0.308947696,Mediterranean
,US-Mexico border crossing,7,"-113.182833','32.478317",2014-01-22,32.478317,-113.182833,0.909244463,North America
,US-Mexico border crossing,8,"-111.01101','31.81154",2014-01-24,31.81154,-111.01101,0.812914702,North America
,US-Mexico border crossing,9,"-112.174583','32.174017",2014-01-24,32.174017,-112.174583,0.349658264,North America
,US-Mexico border crossing,10,"-113.02935','32.40291",2014-01-25,32.40291,-113.02935,0.888639753,North America
,US-Mexico border crossing,11,"-112.919','32.159",2014-01-28,32.159,-112.919,0.013199766,North America
,US-Mexico border crossing,12,"-111.654933','32.481483",2014-01-29,32.481483,-111.654933,0.645351203,North America
,US-Mexico border crossing,13,"-111.654933','32.481683",2014-01-29,32.481683,-111.654933,0.304713497,North America
2.0,English Channel to the UK,14,"2','50.9355",2014-01-30,50.9355,2.0,0.928586121,Europe
,,15,"-80','26.116",2014-01-30,26.116,-80.0,0.192049323,Caribbean
500.0,,16,"100.4674982','7.0167471",2014-02-02,7.0167471,100.4674982,0.110207672,South-eastern Asia
0.0,Western Mediterranean,17,"-5','35.8793",2014-02-06,35.8793,-5.0,0.982394241,Mediterranean
,US-Mexico border crossing,18,"-111.854867','31.8054",2014-02-11,31.8054,-111.854867,0.679030509,North America
,US-Mexico border crossing,19,"-111.385833','31.992833",2014-02-16,31.992833,-111.385833,0.016570814,North America
,US-Mexico border crossing,20,"-112.20211','32.17305",2014-02-16,32.17305,-112.20211,0.764558717,North America
121.0,Central Mediterranean,21,"16','34.5645",2014-02-17,34.5645,16.0,0.54103856,Mediterranean
,US-Mexico border crossing,22,"-112.1726','32.00768",2014-02-17,32.00768,-112.1726,0.289657867,North America
2.0,US-Mexico border crossing,23,"-117','32.5543",2014-02-18,32.5543,-117.0,0.878170177,North America
0.0,,24,"-68','18.4505",2014-02-20,18.4505,-68.0,0.984997689,Caribbean
,US-Mexico border crossing,25,"-111.96383','31.82214",2014-02-20,31.82214,-111.96383,0.429713888,North America
,US-Mexico border crossing,26,"-112.58407','32.08795",2014-02-21,32.08795,-112.58407,0.737800923,North America
